image_name,class,x_min,y_min,x_max,y_max,confidence
diagram_2.png,5,1584,967,1611,1012,0.9250591397285461
diagram_2.png,31,1552,675,1642,766,0.9030213356018066
diagram_2.png,26,1551,828,1641,916,0.8782800436019897
diagram_2.png,5,2078,410,2105,455,0.8689039349555969
diagram_2.png,21,2000,719,2027,736,0.7817103266716003
diagram_2.png,5,2168,491,2211,516,0.5725991725921631
diagram_2.png,26,2192,583,2211,661,0.4351552128791809
diagram_2.png,21,2198,903,2212,957,0.32560133934020996
diagram_2.png,17,2200,899,2211,958,0.3236181437969208
diagram_2.png,6,2168,492,2211,517,0.2681407034397125
diagram_2.png,5,2194,564,2222,610,0.9145865440368652
diagram_2.png,20,2127,642,2151,677,0.9041997194290161
diagram_2.png,5,2045,711,2070,755,0.8920110464096069
diagram_2.png,21,2093,647,2108,673,0.874398410320282
diagram_2.png,5,1931,712,1976,737,0.874187707901001
diagram_2.png,5,1986,928,2037,955,0.8534034490585327
diagram_2.png,5,2264,647,2312,673,0.8469783067703247
diagram_2.png,26,1782,578,1862,669,0.8274112343788147
diagram_2.png,5,1872,799,1899,849,0.6834157705307007
diagram_2.png,20,1866,889,1904,917,0.6599915027618408
diagram_2.png,24,2436,489,2475,518,0.553044319152832
diagram_2.png,24,2588,927,2631,957,0.7476507425308228
diagram_2.png,21,2589,927,2633,957,0.5972982048988342
diagram_2.png,21,2587,928,2601,955,0.2643078565597534
diagram_2.png,5,3127,853,3155,899,0.9227707386016846
diagram_2.png,26,1448,1167,1538,1257,0.9179546236991882
diagram_2.png,1,1659,1060,1704,1086,0.9050986766815186
diagram_2.png,1,1659,1369,1704,1394,0.9046463966369629
diagram_2.png,1,1657,632,1702,656,0.9033475518226624
diagram_2.png,1,1657,939,1702,966,0.8957380056381226
diagram_2.png,21,2199,855,2211,882,0.8931053280830383
diagram_2.png,21,2199,1112,2211,1139,0.8513684868812561
diagram_2.png,26,1446,741,1535,828,0.830986738204956
diagram_2.png,21,2199,1355,2211,1382,0.7409529685974121
diagram_2.png,32,1274,741,1365,830,0.4402109980583191
diagram_2.png,21,2199,624,2211,649,0.43616166710853577
diagram_2.png,17,2199,1009,2212,1065,0.39538827538490295
diagram_2.png,5,2274,1505,2324,1531,0.9053345322608948
diagram_2.png,5,2395,1567,2420,1615,0.893678605556488
diagram_2.png,5,1886,1098,1911,1147,0.8882572650909424
diagram_2.png,26,2725,655,2807,752,0.8270922899246216
diagram_2.png,32,1976,1492,2103,1544,0.8185508847236633
diagram_2.png,32,2728,593,2804,621,0.7308231592178345
diagram_2.png,26,2725,738,2805,825,0.7041643261909485
diagram_2.png,22,2728,594,2805,620,0.45848777890205383
diagram_2.png,27,2726,737,2805,825,0.4401090145111084
diagram_2.png,5,1985,1036,2038,1063,0.3180023431777954
diagram_2.png,29,2521,1595,2610,1617,0.26014164090156555
diagram_2.png,5,3256,955,3282,1002,0.9072396159172058
diagram_2.png,32,3092,1494,3224,1544,0.8284546732902527
diagram_2.png,26,2376,659,2396,744,0.7478030323982239
diagram_2.png,26,2376,738,2394,823,0.6801635026931763
diagram_2.png,32,2376,594,2396,621,0.3399081826210022
diagram_2.png,23,3095,1495,3221,1545,0.32974761724472046
diagram_2.png,24,2594,1034,2633,1066,0.3119836449623108
diagram_2.png,5,2956,955,2982,1002,0.8934631943702698
diagram_2.png,32,2799,1494,2925,1544,0.25438570976257324
diagram_2.png,5,965,1807,1010,1834,0.901455819606781
diagram_2.png,24,673,1805,710,1836,0.8775655031204224
diagram_2.png,32,785,1796,917,1844,0.726561427116394
diagram_2.png,23,788,1797,915,1845,0.5740691423416138
diagram_2.png,5,652,1900,679,1947,0.8963860869407654
diagram_2.png,20,825,1955,858,1980,0.89555823802948
diagram_2.png,6,741,1808,787,1835,0.8873677253723145
diagram_2.png,29,698,2174,789,2212,0.8265926837921143
diagram_2.png,26,1106,1719,1196,1806,0.7771034836769104
diagram_2.png,31,1223,1623,1312,1713,0.7383342385292053
diagram_2.png,26,1103,1798,1197,1884,0.6360635161399841
diagram_2.png,23,907,2088,1013,2131,0.6065996289253235
diagram_2.png,26,1104,1624,1197,1712,0.5337669253349304
diagram_2.png,26,1101,1877,1198,1964,0.3219853639602661
diagram_2.png,21,1377,2204,1423,2212,0.4035114645957947
diagram_2.png,21,1298,2204,1345,2212,0.27456074953079224
diagram_2.png,21,1939,2204,1986,2212,0.2541745901107788
diagram_2.png,5,1886,1441,1910,1487,0.8596349358558655
diagram_2.png,23,2206,1365,2334,1414,0.7809677720069885
diagram_2.png,26,2518,1186,2614,1262,0.6823685169219971
diagram_2.png,26,2520,1253,2612,1341,0.5976811051368713
diagram_2.png,32,2203,1364,2338,1416,0.5742889046669006
diagram_2.png,5,2005,1376,2054,1405,0.5259021520614624
diagram_2.png,21,2221,2204,2270,2212,0.3602856695652008
diagram_2.png,21,1910,2204,1958,2212,0.35533228516578674
diagram_2.png,21,2614,2204,2660,2212,0.30867376923561096
diagram_2.png,7,2397,1187,2420,1203,0.2944134771823883
diagram_2.png,21,2691,2204,2738,2212,0.26299160718917847
diagram_2.png,23,3096,1366,3225,1415,0.8211254477500916
diagram_2.png,5,651,1609,679,1656,0.907495379447937
diagram_2.png,31,1223,1600,1314,1675,0.9021418690681458
diagram_2.png,20,825,1664,858,1689,0.8995006084442139
diagram_2.png,30,809,1993,877,2061,0.8922958970069885
diagram_2.png,26,1101,1600,1197,1672,0.8348695039749146
diagram_2.png,26,699,1884,787,1972,0.8050350546836853
diagram_2.png,23,908,1797,1012,1840,0.7273712754249573
