image_name,class,x_min,y_min,x_max,y_max,confidence
diagram_1.png,24,1695,997,1727,1024,0.5132940411567688
diagram_1.png,5,2970,985,3016,1013,0.9158443212509155
diagram_1.png,21,3037,1015,3057,1024,0.3861068785190582
diagram_1.png,24,2400,996,2440,1024,0.37395161390304565
diagram_1.png,22,3489,976,3568,1022,0.4665638208389282
diagram_1.png,27,957,939,1023,1063,0.7709535956382751
diagram_1.png,26,956,939,1024,1067,0.689947247505188
diagram_1.png,21,652,987,665,1014,0.273317813873291
diagram_1.png,5,1461,1303,1488,1351,0.9190134406089783
diagram_1.png,5,2007,1548,2060,1576,0.9182586669921875
diagram_1.png,5,1586,1152,1631,1179,0.9102452397346497
diagram_1.png,5,1697,1469,1725,1514,0.9049685597419739
diagram_1.png,5,1320,1512,1365,1537,0.9042097926139832
diagram_1.png,5,1383,1220,1429,1246,0.8875903487205505
diagram_1.png,24,1692,594,1727,612,0.4752747416496277
diagram_1.png,1,1478,1087,1512,1107,0.38130930066108704
diagram_1.png,5,2101,1548,2153,1576,0.9346551895141602
diagram_1.png,5,2320,1469,2347,1514,0.9216499924659729
diagram_1.png,5,1814,908,1840,951,0.9159692525863647
diagram_1.png,5,2474,1211,2521,1239,0.9136895537376404
diagram_1.png,5,2554,1305,2581,1350,0.9069076180458069
diagram_1.png,5,2652,1512,2697,1539,0.9057451486587524
diagram_1.png,5,2701,1152,2746,1180,0.9050557613372803
diagram_1.png,5,2119,985,2171,1014,0.8390010595321655
diagram_1.png,26,2287,1342,2379,1431,0.5796433091163635
diagram_1.png,1,2571,1089,2606,1107,0.32333487272262573
diagram_1.png,16,2412,1450,2446,1466,0.265487402677536
diagram_1.png,5,3103,800,3151,827,0.9097833037376404
diagram_1.png,5,3368,1094,3400,1120,0.7861181497573853
diagram_1.png,24,2793,811,2818,849,0.5477043986320496
diagram_1.png,5,3065,1094,3116,1120,0.8059784770011902
diagram_1.png,5,2804,800,2851,827,0.7708072066307068
diagram_1.png,22,3490,1085,3566,1130,0.2724943459033966
diagram_1.png,24,718,1789,758,1814,0.5573738813400269
diagram_1.png,5,1802,1255,1829,1299,0.9200294613838196
diagram_1.png,5,1490,1507,1518,1552,0.9161558151245117
diagram_1.png,26,1658,1189,1747,1279,0.8998792767524719
diagram_1.png,26,1195,1199,1286,1287,0.8942115306854248
diagram_1.png,5,1320,1365,1365,1390,0.8882870078086853
diagram_1.png,5,2173,1334,2212,1361,0.8734155893325806
diagram_1.png,5,1638,1583,1684,1609,0.8733024597167969
diagram_1.png,5,1691,1286,1718,1331,0.8687646985054016
diagram_1.png,23,1626,1744,1677,1876,0.8669648766517639
diagram_1.png,24,1620,1671,1684,1696,0.516423761844635
diagram_1.png,24,1732,1583,1794,1609,0.40745630860328674
diagram_1.png,24,1751,1651,1777,1687,0.26902517676353455
diagram_1.png,5,1983,1883,2009,1927,0.9325146079063416
diagram_1.png,5,1883,1333,1934,1361,0.9194379448890686
diagram_1.png,5,2536,1507,2561,1552,0.9130037426948547
diagram_1.png,5,2342,1256,2368,1302,0.8991520404815674
diagram_1.png,5,2272,1256,2300,1302,0.8963649868965149
diagram_1.png,26,2696,1199,2788,1288,0.8937711715698242
diagram_1.png,5,2338,1583,2384,1609,0.8762223720550537
diagram_1.png,5,2653,1368,2697,1392,0.7535318732261658
diagram_1.png,24,2537,1656,2561,1692,0.3020181953907013
diagram_1.png,10,2376,1254,2388,1314,0.4715472459793091
diagram_1.png,30,1948,1599,2042,1620,0.7786537408828735
diagram_1.png,24,1640,1936,1664,1971,0.42156538367271423
diagram_1.png,5,1983,1600,2008,1636,0.9068715572357178
